model_year,num_registrations
1913,2
1914,2
1917,1
1919,1
1920,3
1921,2
1923,11
1924,2
1925,1
1926,7
1927,8
1928,22
1929,37
1930,43
1931,31
1932,22
1933,8
1934,23
1935,20
1936,21
1937,24
1938,4
1939,13
1940,21
1941,14
1942,8
1943,7
1944,5
1945,4
1946,27
1947,27
1948,32
1949,43
1950,52
1951,44
1952,31
1953,41
1954,45
1955,108
1956,92
1957,99
1958,63
1959,71
1960,75
1961,66
1962,87
1963,137
1964,158
1965,286
1966,321
1967,285
1968,244
1969,336
1970,243
1971,287
1972,389
1973,281
1974,239
1975,219
1976,273
1977,311
1978,364
1979,343
1980,257
1981,270
1982,276
1983,225
1984,319
1985,358
1986,451
1987,428
1988,508
1989,683
1990,860
1991,777
1992,"1,083"
1993,"1,387"
1994,"1,970"
1995,"2,324"
1996,"2,598"
1997,"3,533"
1998,"3,878"
1999,"5,265"
2000,"6,342"
2001,"7,043"
2002,"7,839"
2003,"9,836"
2004,"12,166"
2005,"14,354"
2006,"16,338"
2007,"18,929"
2008,"17,102"
2009,"11,994"
2010,"14,561"
2011,"17,041"
2012,"22,089"
2013,"26,883"
2014,"28,083"
2015,"32,223"
2016,"33,387"
2017,"35,216"
2018,"33,085"
2019,"32,290"
2020,"27,140"
2021,"30,012"
2022,"30,312"
2023,"31,266"
2024,"27,037"
2025,"5,830"
2026,8